"","x"
"1",0.0157555062649301
"2",0.0459079895179249
"3",0.0740909385213345
"4",0.100514362824519
"5",0.125357938840735
"6",0.148776444644947
"7",0.17090404699772
"8",0.191857716981108
"9",0.211739976487016
"10",0.23064112543794
"11",0.248641062124823
"12",0.265810781849182
"13",0.282213619092575
"14",0.2979062836194
"15",0.312939729808384
"16",0.327359890096634
"17",0.34120829699463
"18",0.354522613180829
"19",0.367337085341402
"20",0.379682934414438
"21",0.391588692529956
"22",0.403080495059376
"23",0.414182334689865
"24",0.424916283236442
"25",0.435302685934047
"26",0.445360332164088
"27",0.45510660592754
"28",0.464557618850094
"29",0.473728328071341
"30",0.482632641011438
"31",0.491283508710933
"32",0.499693009191146
"33",0.507872422074712
"34",0.515832295531239
"35",0.523582506465877
"36",0.531132314744013
"37",0.538490412139626
"38",0.545664966604831
"39",0.552663662381267
"40",0.559493736408169
"41",0.566162011425404
"42",0.572674926121071
"43",0.579038562631182
"44",0.585258671662588
"45",0.591340695478678
"46",0.597289788959932
"47",0.603110838927445
"48",0.6088084818966
"49",0.614387120409777
"50",0.619850938080847
"51",0.625203913470123
"52",0.630449832895949
"53",0.635592302278138
"54",0.640634758098727
"55",0.645580477556959
"56",0.6504325879877
"57",0.655194075605772
"58",0.65986779363261
"59",0.664456469856251
"60",0.668962713670909
"61",0.673389022638005
"62",0.677737788606752
"63",0.682011303428865
"64",0.686211764298925
"65",0.690341278749077
"66",0.694401869324278
"67",0.698395477962003
"68",0.702323970098295
"69",0.706189138520184
"70",0.709992706982828
"71",0.713736333608206
"72",0.717421614080827
"73",0.721050084654656
"74",0.724623224984328
"75",0.728142460792687
"76",0.73160916638574
"77",0.735024667025255
"78",0.738390241168464
"79",0.74170712258358
"80",0.744976502349221
"81",0.748199530745204
"82",0.751377319041629
"83",0.754510941192686
"84",0.757601435441118
"85",0.760649805838885
"86",0.763657023689157
"87",0.766624028914416
"88",0.769551731355107
"89",0.772441012002982
"90",0.775292724172984
"91",0.778107694617276
"92",0.780886724584758
"93",0.783630590829218
"94",0.786340046569023
"95",0.789015822401098
"96",0.791658627171753
"97",0.794269148806737
"98",0.796848055102775
"99",0.799395994482678
"100",0.801913596716001
"101",0.804401473607097
"102",0.80686021965229
"103",0.809290412667812
"104",0.811692614390015
"105",0.814067371049306
"106",0.816415213919165
"107",0.81873665984149
"108",0.821032211729508
"109",0.823302359049339
"110",0.825547578281308
"111",0.827768333361986
"112",0.829965076107925
"113",0.832138246621957
"114",0.83428827368292
"115",0.836415575119594
"116",0.838520558169603
"117",0.840603619823998
"118",0.842665147158184
"119",0.844705517649833
"120",0.846725099484388
"121",0.848724251848719
"122",0.850703325213483
"123",0.852662661604682
"124",0.854602594864931
"125",0.856523450904865
"126",0.858425547945147
"127",0.860309196749475
"128",0.862174700848995
"129",0.864022356758477
"130",0.865852454184628
"131",0.867665276226858
"132",0.869461099570846
"133",0.871240194675183
"134",0.873002825951404
"135",0.874749251937674
"136",0.876479725466397
"137",0.878194493825992
"138",0.879893798917079
"139",0.881577877403307
"140",0.883246960857027
"141",0.884901275900035
"142",0.886541044339563
"143",0.888166483299725
"144",0.88977780534858
"145",0.891375218620997
"146",0.892958926937481
"147",0.89452912991911
"148",0.896086023098746
"149",0.89762979802865
"150",0.899160642384643
"151",0.900678740066949
"152",0.902184271297828
"153",0.903677412716143
"154",0.905158337468953
"155",0.90662721530025
"156",0.908084212636957
"157",0.909529492672259
"158",0.910963215446394
"159",0.912385537924976
"160",0.913796614074946
"161",0.915196594938233
"162",0.91658562870321
"163",0.917963860774022
"164",0.919331433837851
"165",0.920688487930211
"166",0.922035160498316
"167",0.923371586462612
"168",0.924697898276513
"169",0.926014225984423
"170",0.927320697278092
"171",0.928617437551353
"172",0.929904569953322
"173",0.931182215440079
"174",0.932450492824911
"175",0.933709518827135
"176",0.93495940811958
"177",0.936200273374741
"178",0.937432225309675
"179",0.938655372729652
"180",0.939869822570636
"181",0.941075679940595
"182",0.94227304815971
"183",0.943462028799498
"184",0.944642721720894
"185",0.945815225111315
"186",0.946979635520751
"187",0.9481360478969
"188",0.949284555619385
"189",0.950425250533079
"190",0.951558222980567
"191",0.952683561833764
"192",0.953801354524731
"193",0.95491168707569
"194",0.956014644128286
"195",0.957110308972099
"196",0.958198763572447
"197",0.959280088597478
"198",0.960354363444598
"199",0.961421666266233
"200",0.962482073994958
"201",0.963535662368001
"202",0.964582505951156
"203",0.9656226781621
"204",0.966656251293151
"205",0.967683296533475
"206",0.968703883990752
"207",0.96971808271233
"208",0.970725960705867
"209",0.971727584959486
"210",0.972723021461454
"211",0.973712335219394
"212",0.974695590279043
"213",0.975672849742585
"214",0.976644175786538
"215",0.977609629679247
"216",0.978569271797954
"217",0.979523161645494
"218",0.980471357866594
"219",0.981413918263809
"220",0.982350899813098
"221",0.983282358679039
"222",0.984208350229714
"223",0.985128929051249
"224",0.986044148962037
"225",0.986954063026645
"226",0.987858723569407
"227",0.988758182187724
"228",0.989652489765072
"229",0.990541696483719
"230",0.991425851837171
"231",0.99230500464235
"232",0.993179203051501
"233",0.994048494563851
"234",0.994912926037015
"235",0.995772543698154
"236",0.996627393154907
"237",0.99747751940608
"238",0.998322966852114
"239",0.999163779305339
"240",1
