"","x"
"1",0.0284697018177651
"2",0.0784266312668948
"3",0.122290594577855
"4",0.161220777834006
"5",0.196088130223523
"6",0.22756159894523
"7",0.256164757654066
"8",0.282314144682115
"9",0.306345911126188
"10",0.328534773838686
"11",0.349107770801551
"12",0.368254424996859
"13",0.386134375851402
"14",0.402883192380382
"15",0.41861685929865
"16",0.433435280221019
"17",0.447425042983958
"18",0.460661624189918
"19",0.473211162738842
"20",0.485131898628558
"21",0.496475349294127
"22",0.507287278316756
"23",0.517608498516933
"24",0.527475541924836
"25",0.536921221974768
"26",0.545975107855677
"27",0.554663926810554
"28",0.563011906986794
"29",0.571041070960832
"30",0.578771488120306
"31",0.586221492558176
"32",0.593407871920382
"33",0.600346031680559
"34",0.607050138538043
"35",0.613533246007813
"36",0.619807404761606
"37",0.625883759863854
"38",0.63177263670543
"39",0.637483617157631
"40",0.643025607236815
"41",0.648406897377337
"42",0.653635216249747
"43",0.658717778926645
"44",0.66366133008555
"45",0.668472182842841
"46",0.673156253732168
"47",0.677719094272303
"48",0.682165919511109
"49",0.686501633882565
"50",0.690730854671118
"51",0.694857933341056
"52",0.698886974957056
"53",0.702821855894821
"54",0.706666240017183
"55",0.710423593470565
"56",0.714097198238953
"57",0.717690164576971
"58",0.721205442430153
"59",0.724645831938627
"60",0.728013993110011
"61",0.731312454738186
"62",0.73454362263657
"63",0.737709787247364
"64",0.740813130682
"65",0.743855733242434
"66",0.746839579467985
"67",0.749766563748039
"68",0.75263849553704
"69",0.755457104204684
"70",0.758224043551147
"71",0.760940896014376
"72",0.763609176594005
"73",0.766230336514203
"74",0.768805766645763
"75",0.771336800705952
"76",0.773824718252989
"77",0.776270747490579
"78",0.778676067896602
"79",0.781041812688851
"80",0.783369071139646
"81",0.785658890750165
"82",0.787912279294442
"83",0.790130206742183
"84",0.792313607068805
"85",0.794463379960454
"86",0.796580392421124
"87",0.798665480288483
"88",0.800719449664449
"89",0.802743078266173
"90",0.804737116702576
"91",0.806702289681282
"92",0.808639297150369
"93",0.810548815379082
"94",0.812431497981324
"95",0.814287976885469
"96",0.816118863253823
"97",0.817924748354763
"98",0.819706204390442
"99",0.821463785282695
"100",0.823198027419627
"101",0.824909450365192
"102",0.826598557533915
"103",0.828265836832757
"104",0.829911761272018
"105",0.83153678954701
"106",0.833141366592155
"107",0.834725924109033
"108",0.83629088106983
"109",0.837836644197511
"110",0.839363608424003
"111",0.840872157327552
"112",0.842362663550375
"113",0.843835489197649
"114",0.84529098621881
"115",0.846729496772091
"116",0.848151353573153
"117",0.849556880228642
"118",0.850946391555413
"119",0.85232019388617
"120",0.853678585362177
"121",0.855021856213704
"122",0.856350289028796
"123",0.857664159010939
"124",0.858963734226173
"125",0.860249275840142
"126",0.861521038345579
"127",0.862779269780665
"128",0.864024211938706
"129",0.865256100569521
"130",0.866475165572937
"131",0.867681631184746
"132",0.868875716155475
"133",0.870057633922288
"134",0.871227592774345
"135",0.872385796011888
"136",0.873532442099359
"137",0.874667724812791
"138",0.875791833381742
"139",0.876904952625992
"140",0.878007263087249
"141",0.879098941156061
"142",0.88018015919415
"143",0.881251085652359
"144",0.882311885184396
"145",0.883362718756553
"146",0.884403743753566
"147",0.885435114080775
"148",0.886456980262738
"149",0.887469489538447
"150",0.888472785953271
"151",0.889467010447778
"152",0.890452300943537
"153",0.891428792426048
"154",0.892396617024883
"155",0.893355904091179
"156",0.894306780272559
"157",0.8952493695856
"158",0.896183793485931
"159",0.897110170936063
"160",0.898028618471027
"161",0.898939250261907
"162",0.89984217817735
"163",0.900737511843127
"164",0.901625358699817
"165",0.902505824058684
"166",0.903379011155814
"167",0.904245021204574
"168",0.90510395344646
"169",0.905955905200383
"170",0.906800971910458
"171",0.907639247192343
